"export-plot data (NetLogo 6.4.0)"
"Rebellion.nlogo"
"05/11/2024 15:47:50:946 +1000"

"MODEL SETTINGS"
"government-legitimacy","movement?","initial-agent-density","vision","max-jail-term","visualization","initial-cop-density"
"0.82","true","70","7","30","""2D""","4"

"""All agent types"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1050","0","1230","true","""quiet""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""quiet""","true","0","1","55","1002"
"""jailed""","true","0","1","0","1002"
"""active""","true","0","1","15","1002"

"""quiet""",,,,"""jailed""",,,,"""active"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","1120","55","true","0","0","0","true","0","0","15","true"
"1","1097","55","true","1","20","0","true","1","3","15","true"
"2","1039","55","true","2","29","0","true","2","52","15","true"
"3","774","55","true","3","79","0","true","3","267","15","true"
"4","597","55","true","4","134","0","true","4","389","15","true"
"5","589","55","true","5","196","0","true","5","335","15","true"
"6","601","55","true","6","247","0","true","6","272","15","true"
"7","605","55","true","7","293","0","true","7","222","15","true"
"8","602","55","true","8","343","0","true","8","175","15","true"
"9","604","55","true","9","393","0","true","9","123","15","true"
"10","629","55","true","10","429","0","true","10","62","15","true"
"11","673","55","true","11","444","0","true","11","3","15","true"
"12","688","55","true","12","431","0","true","12","1","15","true"
"13","711","55","true","13","408","0","true","13","1","15","true"
"14","727","55","true","14","393","0","true","14","0","15","true"
"15","741","55","true","15","378","0","true","15","1","15","true"
"16","757","55","true","16","363","0","true","16","0","15","true"
"17","776","55","true","17","343","0","true","17","1","15","true"
"18","789","55","true","18","331","0","true","18","0","15","true"
"19","804","55","true","19","315","0","true","19","1","15","true"
"20","820","55","true","20","297","0","true","20","3","15","true"
"21","819","55","true","21","283","0","true","21","18","15","true"
"22","806","55","true","22","277","0","true","22","37","15","true"
"23","766","55","true","23","287","0","true","23","67","15","true"
"24","765","55","true","24","306","0","true","24","49","15","true"
"25","769","55","true","25","318","0","true","25","33","15","true"
"26","772","55","true","26","324","0","true","26","24","15","true"
"27","757","55","true","27","323","0","true","27","40","15","true"
"28","775","55","true","28","329","0","true","28","16","15","true"
"29","799","55","true","29","321","0","true","29","0","15","true"
"30","821","55","true","30","297","0","true","30","2","15","true"
"31","851","55","true","31","269","0","true","31","0","15","true"
"32","876","55","true","32","244","0","true","32","0","15","true"
"33","899","55","true","33","221","0","true","33","0","15","true"
"34","922","55","true","34","198","0","true","34","0","15","true"
"35","936","55","true","35","184","0","true","35","0","15","true"
"36","945","55","true","36","174","0","true","36","1","15","true"
"37","959","55","true","37","161","0","true","37","0","15","true"
"38","969","55","true","38","151","0","true","38","0","15","true"
"39","976","55","true","39","144","0","true","39","0","15","true"
"40","985","55","true","40","134","0","true","40","1","15","true"
"41","995","55","true","41","125","0","true","41","0","15","true"
"42","999","55","true","42","121","0","true","42","0","15","true"
"43","1011","55","true","43","109","0","true","43","0","15","true"
"44","1010","55","true","44","109","0","true","44","1","15","true"
"45","1016","55","true","45","104","0","true","45","0","15","true"
"46","1031","55","true","46","89","0","true","46","0","15","true"
"47","1033","55","true","47","87","0","true","47","0","15","true"
"48","1039","55","true","48","81","0","true","48","0","15","true"
"49","1052","55","true","49","68","0","true","49","0","15","true"
"50","1043","55","true","50","63","0","true","50","14","15","true"
"51","962","55","true","51","78","0","true","51","80","15","true"
"52","695","55","true","52","124","0","true","52","301","15","true"
"53","609","55","true","53","167","0","true","53","344","15","true"
"54","598","55","true","54","221","0","true","54","301","15","true"
"55","611","55","true","55","260","0","true","55","249","15","true"
"56","606","55","true","56","306","0","true","56","208","15","true"
"57","602","55","true","57","357","0","true","57","161","15","true"
"58","615","55","true","58","399","0","true","58","106","15","true"
"59","623","55","true","59","440","0","true","59","57","15","true"
"60","644","55","true","60","466","0","true","60","10","15","true"
"61","663","55","true","61","457","0","true","61","0","15","true"
"62","673","55","true","62","447","0","true","62","0","15","true"
"63","695","55","true","63","425","0","true","63","0","15","true"
"64","716","55","true","64","404","0","true","64","0","15","true"
"65","740","55","true","65","380","0","true","65","0","15","true"
"66","756","55","true","66","363","0","true","66","1","15","true"
"67","774","55","true","67","345","0","true","67","1","15","true"
"68","791","55","true","68","328","0","true","68","1","15","true"
"69","818","55","true","69","302","0","true","69","0","15","true"
"70","837","55","true","70","282","0","true","70","1","15","true"
"71","852","55","true","71","268","0","true","71","0","15","true"
"72","868","55","true","72","252","0","true","72","0","15","true"
"73","892","55","true","73","227","0","true","73","1","15","true"
"74","897","55","true","74","212","0","true","74","11","15","true"
"75","833","55","true","75","225","0","true","75","62","15","true"
"76","791","55","true","76","250","0","true","76","79","15","true"
"77","682","55","true","77","284","0","true","77","154","15","true"
"78","643","55","true","78","316","0","true","78","161","15","true"
"79","633","55","true","79","357","0","true","79","130","15","true"
"80","631","55","true","80","381","0","true","80","108","15","true"
"81","648","55","true","81","410","0","true","81","62","15","true"
"82","686","55","true","82","411","0","true","82","23","15","true"
"83","718","55","true","83","401","0","true","83","1","15","true"
