tick,quiet,jailed,active
1,1117,3,0
2,1116,4,0
3,1117,3,0
4,1116,4,0
5,1116,4,0
6,1117,3,0
7,1117,3,0
8,1116,4,0
9,1116,4,0
10,1116,4,0
11,1116,4,0
12,1116,4,0
13,1116,4,0
14,1116,4,0
15,1117,3,0
16,1116,4,0
17,1116,4,0
18,1116,4,0
19,1116,4,0
20,1116,4,0
21,1116,4,0
22,1116,4,0
23,1117,3,0
24,1116,4,0
25,1116,4,0
26,1116,4,0
27,1117,3,0
28,1116,4,0
29,1116,4,0
30,1116,4,0
31,1116,4,0
32,1116,4,0
33,1117,3,0
34,1116,4,0
35,1116,4,0
36,1116,4,0
37,1117,3,0
38,1116,4,0
39,1116,4,0
40,1116,4,0
41,1116,4,0
42,1116,4,0
43,1116,4,0
44,1116,4,0
45,1117,3,0
46,1116,4,0
47,1116,4,0
48,1116,4,0
49,1116,4,0
50,1116,4,0
51,1117,3,0
52,1116,4,0
53,1116,4,0
54,1114,6,0
55,1114,6,0
56,1114,6,0
57,1114,6,0
58,1114,6,0
59,1114,6,0
60,1114,6,0
61,1115,5,0
62,1114,6,0
63,1115,5,0
64,1114,6,0
65,1115,5,0
66,1114,6,0
67,1114,6,0
68,1116,4,0
69,1114,6,0
70,1114,6,0
71,1114,6,0
72,1116,4,0
73,1117,3,0
74,1116,4,0
75,1116,4,0
76,1116,4,0
77,1116,4,0
78,1116,4,0
79,1117,3,0
80,1116,4,0
81,1116,4,0
82,1116,4,0
83,1116,4,0
84,1105,11,4
85,1108,12,0
86,1109,11,0
87,1109,11,0
88,1109,11,0
89,1109,11,0
90,1111,9,0
91,1109,11,0
92,1110,10,0
93,1104,15,1
94,1105,15,0
95,1108,12,0
96,1107,13,0
97,1107,13,0
98,1108,12,0
99,1106,14,0
100,1107,13,0
101,1107,13,0
102,1109,11,0
103,1107,13,0
104,1108,12,0
105,1109,11,0
106,1110,10,0
107,1109,11,0
108,1110,10,0
109,1111,9,0
110,1111,9,0
111,1111,9,0
112,1113,7,0
113,1113,7,0
114,1101,14,5
115,1107,13,0
116,1107,13,0
117,1108,12,0
118,1108,12,0
119,1108,12,0
120,1108,12,0
121,1109,11,0
122,1110,10,0
123,1110,10,0
124,1110,10,0
125,1111,9,0
126,1111,9,0
127,1112,8,0
128,1111,9,0
129,1111,9,0
130,1109,11,0
131,1109,11,0
132,1108,12,0
133,1108,12,0
134,1109,11,0
135,1110,10,0
136,1111,9,0
137,1111,9,0
138,1111,9,0
139,1113,7,0
140,1109,11,0
141,1099,20,1
142,1102,18,0
143,1103,17,0
144,1103,17,0
145,1103,17,0
146,1107,13,0
147,1105,15,0
148,1105,15,0
149,1105,15,0
150,1106,14,0
151,1105,15,0
152,1106,14,0
153,1108,12,0
154,1107,13,0
155,1109,11,0
156,1108,12,0
157,1109,11,0
158,1110,10,0
159,1111,9,0
160,1112,8,0
161,1112,8,0
162,1113,7,0
163,1113,7,0
164,1115,5,0
165,1116,4,0
166,1116,4,0
167,1117,3,0
168,1116,4,0
169,1116,4,0
170,1116,4,0
171,1116,4,0
172,1116,4,0
173,1115,5,0
174,1115,5,0
175,1115,5,0
176,1114,6,0
177,1114,6,0
178,1114,6,0
179,1100,13,7
180,1077,28,15
181,1051,50,19
182,967,84,69
183,857,115,148
184,844,146,130
185,843,168,109
186,851,168,101
187,849,180,91
188,845,196,79
189,844,209,67
190,848,211,61
191,846,212,62
192,845,223,52
193,844,224,52
194,847,225,48
195,848,226,46
196,846,227,47
197,846,231,43
198,846,231,43
199,846,233,41
200,846,230,44
