tick,quiet,jailed,active
0,1120,0,0
1,1097,20,3
2,1039,29,52
3,774,79,267
4,597,134,389
5,589,196,335
6,601,247,272
7,605,293,222
8,602,343,175
9,604,393,123
10,629,429,62
11,673,444,3
12,688,431,1
13,711,408,1
14,727,393,0
15,741,378,1
16,757,363,0
17,776,343,1
18,789,331,0
19,804,315,1
20,820,297,3
21,819,283,18
22,806,277,37
23,766,287,67
24,765,306,49
25,769,318,33
26,772,324,24
27,757,323,40
28,775,329,16
29,799,321,0
30,821,297,2
31,851,269,0
32,876,244,0
33,899,221,0
34,922,198,0
35,936,184,0
36,945,174,1
37,959,161,0
38,969,151,0
39,976,144,0
40,985,134,1
41,995,125,0
42,999,121,0
43,1011,109,0
44,1010,109,1
45,1016,104,0
46,1031,89,0
47,1033,87,0
48,1039,81,0
49,1052,68,0
50,1043,63,14
51,962,78,80
52,695,124,301
53,609,167,344
54,598,221,301
55,611,260,249
56,606,306,208
57,602,357,161
58,615,399,106
59,623,440,57
60,644,466,10
61,663,457,0
62,673,447,0
63,695,425,0
64,716,404,0
65,740,380,0
66,756,363,1
67,774,345,1
68,791,328,1
69,818,302,0
70,837,282,1
71,852,268,0
72,868,252,0
73,892,227,1
74,897,212,11
75,833,225,62
76,791,250,79
77,682,284,154
78,643,316,161
79,633,357,130
80,631,381,108
81,648,410,62
82,686,411,23
83,718,401,1
84,746,373,1
85,765,352,3
86,784,336,0
87,797,323,0
88,813,307,0
89,834,286,0
90,847,273,0
91,863,257,0
92,879,240,1
93,903,217,0
94,921,199,0
95,931,189,0
96,946,174,0
97,951,165,4
98,965,155,0
99,984,136,0
100,997,122,1
101,1004,116,0
102,1022,98,0
103,1031,89,0
104,1042,77,1
105,1057,63,0
106,1071,49,0
107,1075,43,2
108,987,49,84
109,752,95,273
110,601,146,373
111,600,198,322
112,599,249,272
113,601,297,222
114,605,344,171
115,610,388,122
116,630,423,67
117,657,453,10
118,675,445,0
119,697,423,0
120,712,408,0
121,732,388,0
122,748,372,0
123,763,355,2
124,785,335,0
125,812,308,0
126,812,293,15
127,809,283,28
128,821,282,17
129,846,274,0
130,862,258,0
131,884,236,0
132,908,212,0
133,920,200,0
134,935,185,0
135,948,169,3
136,967,153,0
137,984,136,0
138,1010,109,1
139,1029,90,1
140,1041,79,0
141,1049,71,0
142,1064,56,0
143,1064,56,0
144,1071,46,3
145,942,68,110
146,665,119,336
147,593,176,351
148,597,230,293
149,598,282,240
150,613,323,184
151,619,371,130
152,638,409,73
153,652,436,32
154,677,442,1
155,685,434,1
156,699,420,1
157,719,401,0
158,735,385,0
159,747,373,0
160,769,351,0
161,786,334,0
162,803,317,0
163,822,298,0
164,837,283,0
165,861,259,0
166,882,238,0
167,897,221,2
168,900,202,18
169,861,206,53
170,786,236,98
171,643,272,205
172,629,301,190
173,619,333,168
174,619,366,135
175,634,396,90
176,662,422,36
177,688,427,5
178,710,409,1
179,728,391,1
180,748,372,0
181,765,354,1
182,783,337,0
183,802,317,1
184,802,306,12
185,800,302,18
186,804,303,13
187,823,297,0
188,846,274,0
189,864,256,0
190,882,237,1
191,857,223,40
192,810,237,73
193,773,266,81
194,675,298,147
195,644,331,145
196,646,351,123
197,630,384,106
198,675,401,44
199,690,408,22
200,716,404,0
201,740,380,0
202,765,355,0
203,789,331,0
204,800,318,2
205,818,301,1
206,831,288,1
207,846,274,0
208,857,262,1
209,878,242,0
210,898,222,0
211,914,206,0
212,933,187,0
213,946,173,1
214,958,162,0
215,976,144,0
216,986,129,5
217,980,132,8
218,970,138,12
219,975,140,5
220,936,139,45
221,848,155,117
222,626,202,292
223,616,240,264
224,608,286,226
225,614,330,176
226,614,372,134
227,622,418,80
228,650,448,22
229,679,440,1
230,694,425,1
231,709,411,0
232,724,396,0
233,756,364,0
234,781,338,1
235,806,314,0
236,823,296,1
237,834,285,1
238,858,262,0
239,865,251,4
240,872,245,3
241,887,233,0
242,911,209,0
243,926,193,1
244,935,180,5
245,955,165,0
246,973,147,0
247,982,131,7
248,988,129,3
249,1004,116,0
250,1012,108,0
251,1029,91,0
252,1037,83,0
253,1050,66,4
254,1048,64,8
255,1053,66,1
256,1057,63,0
257,1061,59,0
258,1064,56,0
259,1064,56,0
260,1066,54,0
261,1067,53,0
262,1072,47,1
263,1077,42,1
264,1076,44,0
265,1078,42,0
266,1052,41,27
267,850,74,196
268,621,129,370
269,597,183,340
270,600,234,286
271,603,283,234
272,597,336,187
273,610,382,128
274,635,419,66
275,654,446,20
276,683,437,0
277,699,421,0
278,714,406,0
279,735,385,0
280,752,368,0
281,765,355,0
282,794,326,0
283,812,307,1
284,831,289,0
285,853,267,0
286,864,254,2
287,885,235,0
288,909,211,0
289,919,200,1
290,923,189,8
291,925,190,5
292,942,178,0
293,966,154,0
294,981,139,0
295,1001,119,0
296,1016,103,1
297,1038,82,0
298,1055,65,0
299,1060,60,0
300,1070,50,0
301,1078,41,1
302,1083,37,0
303,1085,35,0
304,1088,32,0
305,1087,33,0
306,1087,33,0
307,1088,32,0
308,1089,31,0
309,1091,29,0
310,1091,28,1
311,1093,27,0
312,1091,28,1
313,1093,26,1
314,1093,27,0
315,1096,24,0
316,1022,30,68
317,751,73,296
318,601,127,392
319,596,179,345
320,599,231,290
321,596,286,238
322,596,341,183
323,598,396,126
324,629,434,57
325,664,449,7
326,686,434,0
327,696,424,0
328,714,405,1
329,732,388,0
330,758,362,0
331,768,351,1
332,786,334,0
333,806,313,1
334,828,292,0
335,843,277,0
336,863,256,1
337,884,236,0
338,902,218,0
339,919,200,1
340,939,181,0
341,960,160,0
342,983,137,0
343,999,121,0
344,1011,109,0
345,1017,95,8
346,937,98,85
347,731,139,250
348,611,180,329
349,607,224,289
350,610,266,244
351,604,312,204
352,610,356,154
353,623,399,98
354,637,430,53
355,668,447,5
356,686,430,4
357,706,412,2
358,731,389,0
359,749,371,0
360,763,357,0
361,781,339,0
362,794,326,0
363,809,311,0
364,828,292,0
365,838,282,0
366,866,254,0
367,891,229,0
368,912,208,0
369,925,195,0
370,938,181,1
371,959,160,1
372,972,148,0
373,994,126,0
374,1018,102,0
375,1033,87,0
376,1042,77,1
377,1017,79,24
378,838,107,175
379,631,154,335
380,606,199,315
381,603,246,271
382,603,295,222
383,605,343,172
384,619,380,121
385,625,426,69
386,658,452,10
387,676,440,4
388,689,429,2
389,710,406,4
390,723,397,0
391,741,379,0
392,761,359,0
393,785,335,0
394,799,321,0
395,820,300,0
396,842,278,0
397,857,262,1
398,846,252,22
399,831,260,29
400,802,275,43
401,804,285,31
402,768,296,56
403,723,314,83
404,701,342,77
405,678,374,68
406,673,399,48
407,699,405,16
408,738,382,0
409,763,357,0
410,788,332,0
411,809,311,0
412,831,289,0
413,846,272,2
414,867,253,0
415,872,248,0
416,889,231,0
417,900,220,0
418,913,207,0
419,919,195,6
420,929,189,2
421,948,172,0
422,968,151,1
423,983,137,0
424,991,128,1
425,1002,118,0
426,1015,105,0
427,1033,87,0
428,1011,86,23
429,909,99,112
430,640,146,334
431,609,188,323
432,611,229,280
433,598,282,240
434,606,328,186
435,602,380,138
436,614,428,78
437,652,454,14
438,673,446,1
439,695,425,0
440,718,402,0
441,739,381,0
442,756,364,0
443,766,354,0
444,783,337,0
445,793,326,1
446,820,300,0
447,839,280,1
448,865,255,0
449,883,237,0
450,900,220,0
451,910,205,5
452,938,182,0
453,960,159,1
454,979,141,0
455,1000,120,0
456,1011,108,1
457,1026,94,0
458,1042,78,0
459,1062,58,0
460,1019,61,40
461,837,97,186
462,630,149,341
463,602,199,319
464,601,248,271
465,602,296,222
466,608,340,172
467,604,388,128
468,631,425,64
469,660,446,14
470,676,444,0
471,695,425,0
472,716,404,0
473,738,381,1
474,755,365,0
475,770,350,0
476,788,332,0
477,804,316,0
478,819,301,0
479,841,279,0
480,865,255,0
481,880,238,2
482,898,222,0
483,910,209,1
484,932,188,0
485,952,168,0
486,979,141,0
487,990,129,1
488,1006,114,0
489,993,98,29
490,853,117,150
491,640,157,323
492,606,202,312
493,606,248,266
494,616,283,221
495,605,328,187
496,617,369,134
497,634,402,84
498,648,442,30
499,672,440,8
500,701,419,0
501,703,416,1
502,717,403,0
503,739,381,0
504,750,370,0
505,773,347,0
506,791,329,0
507,807,313,0
508,826,294,0
509,839,281,0
510,863,257,0
511,884,236,0
512,902,216,2
513,921,199,0
514,942,178,0
515,960,160,0
516,974,145,1
517,1000,119,1
518,1023,97,0
519,1041,79,0
520,1057,62,1
521,1070,50,0
522,1079,41,0
523,1084,35,1
524,1094,26,0
525,1096,24,0
526,1098,22,0
527,1099,21,0
528,1098,21,1
529,1101,19,0
530,1097,22,1
531,1066,28,26
532,863,63,194
533,603,121,396
534,599,173,348
535,604,220,296
536,594,276,250
537,596,330,194
538,608,373,139
539,622,419,79
540,651,452,17
541,681,439,0
542,700,420,0
543,718,402,0
544,732,388,0
545,743,376,1
546,762,358,0
547,778,340,2
548,800,320,0
549,817,302,1
550,830,289,1
551,844,275,1
552,865,255,0
553,862,245,13
554,851,248,21
555,844,255,21
556,830,255,35
557,808,268,44
558,817,280,23
559,770,286,64
560,721,301,98
561,695,329,96
562,693,350,77
563,663,380,77
564,664,408,48
565,667,414,39
566,687,416,17
567,708,412,0
568,740,380,0
569,754,366,0
570,779,341,0
571,802,318,0
572,812,307,1
573,834,286,0
574,846,270,4
575,846,269,5
576,868,252,0
577,887,233,0
578,903,217,0
579,912,207,1
580,925,195,0
581,936,183,1
582,965,155,0
583,976,144,0
584,994,126,0
585,1013,107,0
586,1033,87,0
587,1038,79,3
588,978,84,58
589,792,122,206
590,607,172,341
591,607,217,296
592,611,257,252
593,599,309,212
594,615,348,157
595,617,392,111
596,634,434,52
597,661,454,5
598,677,443,0
599,704,416,0
600,721,398,1
601,742,378,0
602,757,363,0
603,767,352,1
604,790,330,0
605,807,312,1
606,825,295,0
607,844,275,1
608,863,257,0
609,880,239,1
610,907,212,1
611,925,195,0
612,943,177,0
613,959,160,1
614,972,147,1
615,982,131,7
616,876,129,115
617,684,158,278
618,610,200,310
619,610,240,270
620,609,282,229
621,613,321,186
622,613,360,147
623,613,407,100
624,643,439,38
625,668,447,5
626,679,441,0
627,698,422,0
628,716,404,0
629,720,394,6
630,743,376,1
631,768,352,0
632,784,334,2
633,776,332,12
634,796,324,0
635,813,307,0
636,830,290,0
637,844,275,1
638,870,250,0
639,894,226,0
640,910,210,0
641,929,191,0
642,953,167,0
643,981,139,0
644,1001,118,1
645,1019,100,1
646,1033,86,1
647,1043,77,0
648,1052,68,0
649,1070,49,1
650,1080,40,0
651,1088,32,0
652,1090,30,0
653,1006,40,74
654,735,88,297
655,595,144,381
656,600,195,325
657,597,250,273
658,604,297,219
659,603,344,173
660,605,391,124
661,613,437,70
662,637,465,18
663,662,456,2
664,683,436,1
665,696,423,1
666,711,409,0
667,723,397,0
668,742,378,0
669,763,357,0
670,787,333,0
671,804,315,1
672,823,296,1
673,822,280,18
674,824,274,22
675,809,279,32
676,808,285,27
677,813,282,25
678,821,283,16
679,833,281,6
680,863,256,1
681,887,233,0
682,906,213,1
683,922,198,0
684,940,180,0
685,968,152,0
686,984,136,0
687,993,127,0
688,1012,108,0
689,1023,97,0
690,1032,88,0
691,1039,81,0
692,1042,77,1
693,1049,71,0
694,1051,69,0
695,1057,63,0
696,1064,56,0
697,1064,56,0
698,1069,51,0
699,1076,43,1
700,1076,44,0
701,1079,40,1
702,1087,32,1
703,1034,43,43
704,833,81,206
705,608,136,376
706,602,186,332
707,603,235,282
708,604,281,235
709,602,332,186
710,617,372,131
711,616,425,79
712,645,451,24
713,670,449,1
714,693,427,0
715,718,402,0
716,730,388,2
717,745,373,2
718,767,352,1
719,781,338,1
720,799,321,0
721,810,309,1
722,835,284,1
723,850,270,0
724,871,249,0
725,892,228,0
726,904,209,7
727,926,194,0
728,925,179,16
729,861,173,86
730,715,208,197
731,633,237,250
732,611,278,231
733,613,317,190
734,621,346,153
735,621,380,119
736,639,411,70
737,661,436,23
738,673,442,5
739,697,423,0
740,711,409,0
741,726,394,0
742,752,368,0
743,771,349,0
744,789,330,1
745,809,311,0
746,827,293,0
747,849,271,0
748,859,261,0
749,875,245,0
750,895,225,0
751,917,203,0
752,941,178,1
753,961,159,0
754,978,142,0
755,999,121,0
756,1011,109,0
757,1024,96,0
758,1043,77,0
759,1055,65,0
760,1066,54,0
761,1076,44,0
762,1089,31,0
763,1049,38,33
764,791,77,252
765,601,130,389
766,600,182,338
767,598,235,287
768,605,281,234
769,602,329,189
770,607,376,137
771,617,423,80
772,651,450,19
773,672,448,0
774,685,435,0
775,712,408,0
776,728,392,0
777,758,362,0
778,779,340,1
779,792,328,0
780,805,314,1
781,824,295,1
782,851,268,1
783,860,259,1
784,883,237,0
785,897,223,0
786,914,204,2
787,923,195,2
788,942,177,1
789,936,169,15
790,887,170,63
791,738,199,183
792,621,235,264
793,611,276,233
794,617,310,193
795,618,343,159
796,617,380,123
797,624,424,72
798,659,449,12
799,679,439,2
800,700,420,0
801,724,396,0
802,738,382,0
803,760,360,0
804,776,343,1
805,795,325,0
806,806,313,1
807,826,293,1
808,831,279,10
809,829,274,17
810,846,273,1
811,865,255,0
812,882,237,1
813,901,219,0
814,933,187,0
815,949,171,0
816,975,145,0
817,992,127,1
818,1001,119,0
819,1021,99,0
820,1033,87,0
821,1051,68,1
822,1065,55,0
823,1074,46,0
824,1077,43,0
825,1052,43,25
826,907,64,149
827,638,116,366
828,593,175,352
829,599,226,295
830,600,276,244
831,599,328,193
832,601,378,141
833,617,421,82
834,639,455,26
835,657,462,1
836,674,445,1
837,694,426,0
838,716,404,0
839,736,383,1
840,756,364,0
841,765,351,4
842,780,340,0
843,803,317,0
844,821,299,0
845,830,289,1
846,851,269,0
847,865,254,1
848,883,237,0
849,902,218,0
850,927,193,0
