tick,quiet,jailed,active
1,1090,30,0
2,1065,46,9
3,964,86,70
4,608,134,378
5,606,167,347
6,602,196,322
7,601,232,287
8,606,254,260
9,602,274,244
10,603,295,222
11,605,314,201
12,603,332,185
13,602,345,173
14,604,350,166
15,604,363,153
16,605,364,151
17,604,362,154
18,605,360,155
19,603,367,150
20,604,368,148
21,604,375,141
22,604,378,138
23,602,383,135
24,603,385,132
25,602,383,135
26,603,388,129
27,603,380,137
28,603,368,149
29,603,376,141
30,602,375,143
31,604,373,143
32,601,376,143
33,601,383,136
34,604,387,129
35,604,388,128
36,602,384,134
37,602,385,133
38,604,382,134
39,602,390,128
40,601,387,132
41,602,390,128
42,602,391,127
43,603,392,125
44,602,395,123
45,605,391,124
46,602,394,124
47,604,392,124
48,603,384,133
49,604,386,130
50,603,380,137
51,603,385,132
52,603,377,140
53,604,380,136
54,603,384,133
55,601,384,135
56,603,391,126
57,603,391,126
58,603,387,130
59,601,380,139
