tick,quiet,jailed,active
0,347,61,712
1,222,118,780
2,223,174,723
3,226,227,667
4,234,272,614
5,228,323,569
6,229,373,518
7,230,422,468
8,229,472,419
9,238,513,369
10,235,557,328
11,241,595,284
12,242,632,246
13,251,660,209
14,254,685,181
15,250,714,156
16,264,732,124
17,263,755,102
18,267,779,74
19,282,794,44
20,290,814,16
21,334,785,1
22,358,762,0
23,392,728,0
24,423,697,0
25,457,663,0
26,484,636,0
27,510,610,0
28,555,565,0
29,574,546,0
30,609,511,0
31,597,496,27
32,446,516,158
33,254,542,324
34,268,553,299
35,276,556,288
36,256,579,285
37,251,607,262
38,253,633,234
39,267,645,208
40,257,667,196
41,268,678,174
42,265,694,161
43,265,709,146
44,264,726,130
45,259,748,113
46,252,779,89
47,274,793,53
48,291,808,21
49,334,786,0
50,357,763,0
51,396,724,0
52,411,704,5
53,447,673,0
54,471,649,0
55,509,611,0
56,537,583,0
57,570,550,0
58,571,541,8
59,516,550,54
60,307,562,251
61,257,584,279
62,275,588,257
63,259,608,253
64,268,619,233
65,252,646,222
66,262,663,195
67,263,679,178
68,269,689,162
69,257,711,152
70,268,722,130
71,265,736,119
72,266,749,105
73,275,760,85
74,269,776,75
75,291,781,48
76,320,783,17
77,325,778,17
78,375,745,0
79,386,734,0
80,422,698,0
81,446,674,0
82,487,633,0
83,501,619,0
84,524,596,0
85,558,562,0
86,579,541,0
87,621,499,0
88,637,483,0
89,654,466,0
90,702,418,0
91,620,433,67
92,309,451,360
93,258,472,390
94,262,489,369
95,257,511,352
96,247,543,330
97,252,570,298
98,264,585,271
99,253,611,256
100,254,636,230
101,257,658,205
102,243,694,183
103,250,723,147
104,267,735,118
105,265,757,98
106,268,776,76
107,277,794,49
108,286,811,23
109,337,783,0
110,372,748,0
111,391,729,0
112,412,708,0
113,449,671,0
114,476,644,0
115,504,616,0
116,513,603,4
117,559,561,0
118,595,525,0
119,638,482,0
120,659,457,4
121,684,436,0
122,714,406,0
123,724,396,0
124,731,384,5
125,750,370,0
126,658,385,77
127,294,404,422
128,249,434,437
129,257,456,407
130,255,480,385
131,250,509,361
132,248,540,332
133,249,570,301
134,260,589,271
135,255,613,252
136,251,641,228
137,261,659,200
138,252,686,182
139,252,713,155
140,265,729,126
141,256,756,108
142,261,780,79
143,289,795,36
144,333,786,1
145,356,764,0
146,401,719,0
147,432,688,0
148,427,683,10
149,486,634,0
150,502,616,2
151,532,588,0
152,569,551,0
153,594,524,2
154,630,490,0
155,658,462,0
156,686,434,0
157,710,410,0
158,648,436,36
159,367,452,301
160,264,467,389
161,256,490,374
162,243,526,351
163,268,537,315
164,254,562,304
165,247,594,279
166,256,617,247
167,265,631,224
168,258,652,210
169,255,676,189
170,255,700,165
171,258,721,141
172,258,742,120
173,268,756,96
174,263,780,77
175,285,794,41
176,310,797,13
177,346,774,0
178,384,736,0
179,409,711,0
180,431,687,2
181,467,653,0
182,502,618,0
183,530,590,0
184,575,545,0
185,539,554,27
186,395,566,159
187,263,582,275
188,264,597,259
189,269,607,244
190,255,631,234
191,259,651,210
192,260,670,190
193,264,685,171
194,256,708,156
195,267,720,133
196,274,726,120
197,261,744,115
198,265,761,94
199,262,781,77
